time,S0,S1,S2,S3,S4,S5,S6,S7,startTime:,23:28:15:127
6549,138,317,5,70,291,303,1222,1275, ,
6575,59,291,35,11,285,287,1248,1360, ,
6603,175,272,34,31,252,299,1345,1491, ,
6629,110,274,64,15,266,286,1438,1647, ,
6654,76,192,20,10,260,250,1501,1780, ,
6680,103,231,8,50,234,264,1528,1816, ,
6705,107,213,57,20,235,261,1508,1802, ,
6732,144,212,23,48,208,259,1520,1826, ,
6757,72,229,15,19,240,235,1529,1852, ,
6783,90,231,72,20,216,274,1533,1882, ,
6808,71,240,30,2,206,251,1562,1929, ,
6834,46,203,16,4,199,233,1549,1924, ,
6859,68,188,18,6,209,238,1542,1901, ,
6884,128,176,14,45,145,260,1545,1890, ,
6909,85,215,1,26,222,220,1562,1920, ,
6935,135,197,25,29,184,280,1580,1922, ,
6960,150,189,24,38,195,252,1582,1924, ,
7004,87,216,13,17,213,222,1588,1965, ,
7030,73,147,52,5,178,245,1587,1976, ,
7055,110,193,45,10,183,239,1587,1993, ,
7081,144,171,35,18,168,240,1604,1994, ,
7105,58,199,15,18,199,224,1606,2002, ,
7131,131,165,18,27,191,231,1619,1987, ,
7156,74,174,5,16,205,223,1605,1978, ,
7182,42,160,43,11,179,230,1611,1996, ,
7217,37,176,60,7,202,229,1620,1994, ,
7257,64,187,3,33,185,229,1635,2002, ,
7282,74,169,3,19,190,211,1639,2019, ,
7309,113,153,11,24,155,233,1651,2014, ,
7333,114,155,23,23,170,253,1633,2012, ,
7359,106,157,38,10,176,243,1628,2023, ,
7404,116,167,72,4,151,239,1601,2023, ,
7430,103,186,42,4,168,231,1578,1987, ,
7455,116,214,15,18,167,217,1537,1888, ,
7480,136,216,29,8,153,231,1471,1743, ,
7505,96,231,65,5,166,223,1314,1532, ,
7531,72,278,17,24,183,189,1123,1239, ,
7555,94,282,35,26,177,166,911,910, ,
7581,74,356,41,6,164,179,751,664, ,
7607,110,513,15,61,193,161,656,426, ,
7632,205,629,89,4,211,228,647,373, ,
7657,266,863,150,21,267,235,771,441, ,
7682,438,1157,287,29,298,302,891,491, ,
7707,549,1477,404,23,365,338,1074,606, ,
7732,648,1755,659,53,435,348,1193,665, ,
7757,720,1945,714,25,492,380,1206,672, ,
7782,775,2085,679,42,521,415,1163,627, ,
7807,768,2114,631,59,535,413,1052,539, ,
7832,700,2098,596,55,570,432,907,422, ,
7859,647,1999,651,34,558,370,722,330, ,
7884,554,1838,338,76,550,326,590,244, ,
7909,484,1642,320,29,522,328,476,191, ,
7934,335,1430,201,55,517,268,391,159, ,
7959,316,1214,162,18,471,296,325,162, ,
7984,233,1050,101,32,436,273,333,111, ,
8009,232,922,77,47,414,277,350,137, ,
8034,249,832,59,26,410,292,399,171, ,
8059,215,796,44,23,425,270,492,236, ,
8084,241,747,43,10,417,318,579,298, ,
8109,236,709,42,33,430,327,658,360, ,
8135,193,646,37,32,451,319,679,421, ,
8160,180,604,49,24,430,313,696,460, ,
8206,225,534,42,31,397,340,888,677, ,
8231,214,566,34,27,427,348,944,747, ,
8257,247,642,43,27,450,364,1058,858, ,
8282,302,768,49,24,470,405,1242,1067, ,
8308,387,950,46,32,498,400,1416,1228, ,
8333,431,1080,76,31,528,404,1484,1272, ,
8358,468,1170,124,14,567,433,1490,1262, ,
8383,473,1196,121,22,464,442,1435,1216, ,
8411,449,1112,109,13,556,451,1350,1143, ,
8435,397,985,98,20,536,432,1260,1085, ,
8461,280,828,48,34,502,363,1174,1015, ,
8486,247,697,99,14,472,355,1048,919, ,
8512,237,597,34,28,426,350,960,842, ,
8537,180,508,12,24,420,345,897,706, ,
8563,141,463,9,42,415,321,857,677, ,
8607,199,412,57,18,411,402,855,682, ,
8633,157,464,56,11,454,370,924,756, ,
8658,202,504,65,15,456,393,969,815, ,
8684,232,568,46,22,488,393,1038,866, ,
8710,233,691,38,19,508,357,1123,941, ,
8736,307,784,44,43,497,378,1222,1022, ,
8761,363,893,59,54,492,361,1267,1096, ,
8787,345,973,66,42,489,322,1294,1176, ,
8811,256,1009,38,54,474,297,1302,1172, ,
8837,323,1004,70,29,427,312,1267,1183, ,
8862,303,960,51,34,415,289,1260,1186, ,
8888,285,873,54,16,363,278,1243,1222, ,
