time, S0, S1, S2, S3, S4, S5, S6, S7,0:0:45:244
299, 2.92, 2.78, 6.36, 2.66, 0.60, 0.53, 2.71, 1.45
301, 2.75, 2.67, 6.49, 2.71, 0.69, 0.55, 2.83, 1.46
303, 2.76, 2.74, 6.41, 2.72, 0.60, 0.60, 2.84, 1.40
305, 2.75, 2.70, 6.42, 2.72, 0.63, 0.61, 2.87, 1.42
308, 2.76, 2.75, 6.43, 2.70, 0.63, 0.58, 2.83, 1.44
310, 2.78, 2.76, 6.46, 2.71, 0.66, 0.61, 2.81, 1.43
312, 2.79, 2.78, 6.46, 2.70, 0.68, 0.55, 2.78, 1.44
314, 2.80, 2.77, 6.49, 2.73, 0.61, 0.59, 2.77, 1.43
316, 2.77, 2.78, 6.51, 2.68, 0.71, 0.57, 2.79, 1.44
319, 3.02, 2.71, 6.68, 2.82, 0.63, 0.61, 2.77, 1.42
321, 2.84, 2.77, 6.44, 2.69, 0.68, 0.57, 2.81, 1.56
323, 2.83, 2.82, 6.50, 2.70, 0.66, 0.56, 2.79, 1.41
325, 2.82, 2.80, 6.56, 2.74, 0.70, 0.59, 2.73, 1.38
327, 2.83, 2.81, 6.51, 2.75, 0.63, 0.62, 2.77, 1.43
330, 2.66, 2.83, 6.59, 2.72, 0.71, 0.55, 2.73, 1.41
332, 2.83, 2.85, 6.62, 2.71, 0.70, 0.59, 2.77, 1.44
334, 2.86, 2.85, 6.62, 2.74, 0.71, 0.64, 2.77, 1.45
336, 2.86, 2.84, 6.68, 2.71, 0.69, 0.60, 2.74, 1.45
338, 2.86, 2.84, 6.65, 2.74, 0.72, 0.57, 2.75, 1.41
341, 3.05, 2.88, 6.78, 2.86, 0.66, 0.56, 2.69, 1.37
343, 2.89, 2.87, 6.64, 2.74, 0.72, 0.49, 2.64, 1.45
345, 2.87, 2.86, 6.78, 2.71, 0.72, 0.53, 2.72, 1.43
347, 2.87, 2.84, 6.79, 2.72, 0.74, 0.53, 2.75, 1.43
349, 2.86, 2.82, 6.81, 2.75, 0.65, 0.61, 2.81, 1.40
352, 2.87, 2.88, 6.79, 2.75, 0.65, 0.59, 2.75, 1.44
354, 2.88, 2.88, 6.79, 2.71, 0.62, 0.54, 2.70, 1.43
356, 2.87, 2.88, 6.81, 2.72, 0.66, 0.62, 2.70, 1.40
358, 2.89, 2.88, 6.83, 2.74, 0.71, 0.63, 2.73, 1.42
360, 2.90, 2.88, 6.85, 2.78, 0.71, 0.64, 2.75, 1.41
363, 3.03, 2.99, 6.83, 2.78, 0.66, 0.52, 2.64, 1.43
365, 2.96, 2.92, 6.83, 2.80, 0.70, 0.62, 2.79, 1.40
367, 2.97, 2.94, 6.85, 2.76, 0.71, 0.54, 2.80, 1.42
369, 2.95, 2.96, 6.84, 2.72, 0.65, 0.62, 2.72, 1.45
371, 2.96, 2.96, 6.85, 2.75, 0.62, 0.58, 2.75, 1.42
374, 2.98, 2.95, 6.86, 2.79, 0.64, 0.55, 2.71, 1.42
376, 2.99, 3.00, 6.88, 2.77, 0.69, 0.58, 2.73, 1.43
378, 2.99, 2.97, 6.93, 2.80, 0.69, 0.60, 2.75, 1.47
380, 2.98, 2.99, 6.90, 2.79, 0.70, 0.57, 2.73, 1.46
382, 3.23, 2.98, 7.00, 2.88, 0.66, 0.57, 2.66, 1.38
385, 3.05, 2.99, 6.89, 2.82, 0.71, 0.52, 2.73, 1.51
387, 3.02, 3.01, 6.93, 2.86, 0.70, 0.62, 2.75, 1.41
389, 3.03, 2.98, 6.92, 2.82, 0.72, 0.58, 2.70, 1.43
391, 3.01, 2.98, 6.89, 2.80, 0.73, 0.58, 2.73, 1.39
393, 2.99, 2.97, 6.88, 2.80, 0.67, 0.53, 2.71, 1.40
395, 2.99, 2.99, 6.89, 2.85, 0.65, 0.60, 2.75, 1.35
398, 3.02, 2.99, 6.86, 2.84, 0.67, 0.60, 2.76, 1.39
400, 3.01, 3.01, 6.89, 2.81, 0.69, 0.60, 2.70, 1.39
402, 3.02, 3.01, 6.88, 2.83, 0.71, 0.57, 2.70, 1.36
404, 3.05, 3.03, 6.84, 2.80, 0.57, 0.63, 2.60, 1.40
407, 3.02, 3.01, 6.93, 2.83, 0.66, 0.61, 2.67, 1.51
409, 3.03, 3.02, 6.85, 2.87, 0.70, 0.56, 2.68, 1.41
411, 3.03, 3.03, 6.84, 2.84, 0.71, 0.60, 2.74, 1.39
413, 3.00, 3.02, 6.82, 2.83, 0.71, 0.61, 2.75, 1.37
415, 3.03, 3.04, 6.78, 2.84, 0.64, 0.56, 2.68, 1.34
417, 3.04, 3.04, 6.76, 2.84, 0.65, 0.55, 2.67, 1.39
420, 3.05, 3.04, 6.73, 2.84, 0.63, 0.60, 2.69, 1.34
422, 3.03, 3.04, 6.72, 2.84, 0.63, 0.57, 2.69, 1.41
424, 3.04, 3.02, 6.72, 2.85, 0.62, 0.56, 2.70, 1.36
426, 3.17, 3.09, 6.67, 2.82, 0.54, 0.52, 2.58, 1.31
428, 3.03, 3.03, 6.75, 2.83, 0.54, 0.62, 2.51, 1.27
431, 3.02, 3.03, 6.67, 2.84, 0.62, 0.61, 2.64, 1.34
433, 3.03, 3.03, 6.63, 2.87, 0.62, 0.52, 2.67, 1.38
435, 3.01, 3.03, 6.64, 2.84, 0.59, 0.59, 2.68, 1.39
437, 3.03, 3.03, 6.59, 2.83, 0.67, 0.61, 2.66, 1.34
439, 3.16, 3.02, 6.59, 2.83, 0.61, 0.57, 2.68, 1.36
442, 3.05, 3.03, 6.58, 2.85, 0.57, 0.63, 2.71, 1.37
444, 3.02, 3.03, 6.50, 2.84, 0.62, 0.60, 2.66, 1.34
446, 3.25, 3.03, 6.61, 2.89, 0.56, 0.57, 2.62, 1.35
448, 3.06, 3.00, 6.66, 2.85, 0.77, 0.58, 2.49, 1.31
450, 3.03, 3.03, 6.47, 2.84, 0.65, 0.58, 2.67, 1.38
453, 3.01, 3.00, 6.45, 2.88, 0.64, 0.61, 2.72, 1.42
455, 3.01, 3.03, 6.44, 2.85, 0.61, 0.62, 2.68, 1.35
457, 3.03, 3.02, 6.40, 2.90, 0.62, 0.58, 2.74, 1.39
459, 3.02, 2.99, 6.39, 2.90, 0.59, 0.56, 2.71, 1.39
461, 3.03, 2.99, 6.37, 2.90, 0.63, 0.64, 2.67, 1.38
463, 3.01, 3.00, 6.36, 2.89, 0.61, 0.61, 2.65, 1.35
466, 3.00, 3.00, 6.31, 2.90, 0.56, 0.62, 2.68, 1.35
468, 3.18, 3.05, 6.35, 2.90, 0.46, 0.65, 2.57, 1.33
470, 3.04, 2.97, 6.48, 2.89, 0.57, 0.60, 2.59, 1.37
472, 3.00, 2.99, 6.31, 2.90, 0.63, 0.59, 2.67, 1.33
475, 3.00, 2.99, 6.27, 2.89, 0.62, 0.56, 2.66, 1.32
477, 2.99, 2.99, 6.23, 2.90, 0.62, 0.59, 2.67, 1.32
479, 2.99, 2.98, 6.23, 2.91, 0.59, 0.60, 2.65, 1.33
481, 3.00, 2.96, 6.25, 2.89, 0.52, 0.58, 2.64, 1.30
483, 3.00, 2.98, 6.23, 2.86, 0.59, 0.63, 2.68, 1.29
485, 3.00, 2.98, 6.23, 2.89, 0.64, 0.66, 2.69, 1.31
488, 3.00, 2.97, 6.23, 2.89, 0.64, 0.60, 2.69, 1.30
490, 3.10, 3.04, 6.17, 2.86, 0.54, 0.66, 2.60, 1.32
492, 3.00, 2.96, 6.24, 2.96, 0.58, 0.59, 2.58, 1.28
494, 2.99, 2.97, 6.22, 2.87, 0.59, 0.59, 2.61, 1.23
496, 2.97, 2.99, 6.22, 2.89, 0.57, 0.64, 2.63, 1.27
499, 2.96, 2.96, 6.21, 2.91, 0.62, 0.69, 2.65, 1.22
501, 2.97, 2.97, 6.19, 2.92, 0.66, 0.63, 2.66, 1.19
503, 2.99, 2.98, 6.18, 2.87, 0.60, 0.68, 2.63, 1.27
505, 2.97, 2.94, 6.15, 2.88, 0.64, 0.73, 2.64, 1.23
507, 2.95, 2.95, 6.16, 2.90, 0.67, 0.63, 2.58, 1.29
510, 3.17, 2.91, 6.30, 2.98, 0.57, 0.65, 2.58, 1.30
512, 2.97, 2.89, 6.29, 2.91, 0.61, 0.52, 2.66, 1.30
514, 2.95, 2.93, 6.13, 2.93, 0.60, 0.62, 2.63, 1.23
516, 2.93, 2.92, 6.11, 2.91, 0.60, 0.65, 2.62, 1.30
518, 2.94, 2.92, 6.10, 2.91, 0.59, 0.68, 2.64, 1.31
521, 2.92, 2.91, 6.10, 2.89, 0.63, 0.65, 2.58, 1.26
523, 2.90, 2.91, 6.06, 2.90, 0.65, 0.63, 2.58, 1.25
525, 2.88, 2.88, 6.07, 2.91, 0.59, 0.60, 2.60, 1.21
527, 2.88, 2.88, 6.03, 2.92, 0.62, 0.65, 2.58, 1.18
529, 2.88, 2.86, 5.99, 2.90, 0.62, 0.63, 2.55, 1.21
532, 2.98, 2.89, 5.96, 2.89, 0.55, 0.60, 2.51, 1.15
534, 2.86, 2.81, 5.89, 2.90, 0.64, 0.56, 2.59, 1.15
536, 2.83, 2.80, 5.87, 2.90, 0.59, 0.58, 2.59, 1.19
538, 2.79, 2.81, 5.87, 2.89, 0.58, 0.62, 2.55, 1.25
540, 2.81, 2.78, 5.82, 2.88, 0.57, 0.65, 2.59, 1.30
543, 2.79, 2.78, 5.83, 2.90, 0.62, 0.63, 2.57, 1.21
545, 2.77, 2.72, 5.77, 2.87, 0.62, 0.63, 2.56, 1.24
547, 2.75, 2.70, 5.75, 2.86, 0.59, 0.67, 2.54, 1.21
549, 2.56, 2.69, 5.72, 2.90, 0.56, 0.57, 2.53, 1.26
551, 2.65, 2.67, 5.67, 2.86, 0.57, 0.59, 2.54, 1.21
554, 2.80, 2.72, 5.59, 2.81, 0.47, 0.58, 2.39, 1.19
556, 2.63, 2.56, 5.61, 2.81, 0.61, 0.56, 2.39, 1.17
558, 2.56, 2.52, 5.51, 2.79, 0.52, 0.60, 2.48, 1.23
560, 2.51, 2.48, 5.46, 2.78, 0.59, 0.60, 2.49, 1.22
562, 2.49, 2.44, 5.37, 2.78, 0.51, 0.66, 2.47, 1.20
565, 2.44, 2.42, 5.26, 2.76, 0.57, 0.62, 2.53, 1.17
567, 2.39, 2.41, 5.20, 2.69, 0.55, 0.62, 2.45, 1.20
569, 2.30, 2.32, 5.17, 2.66, 0.52, 0.60, 2.49, 1.16
571, 2.29, 2.30, 5.05, 2.69, 0.50, 0.67, 2.46, 1.19
573, 2.49, 2.28, 4.94, 2.79, 0.38, 0.57, 2.40, 1.25
576, 2.25, 2.20, 5.07, 2.63, 0.50, 0.64, 2.47, 1.27
578, 2.15, 2.13, 4.84, 2.63, 0.46, 0.60, 2.49, 1.21
580, 2.11, 2.11, 4.74, 2.56, 0.44, 0.59, 2.50, 1.23
582, 2.08, 2.08, 4.62, 2.57, 0.43, 0.56, 2.49, 1.26
584, 2.08, 2.06, 4.51, 2.53, 0.31, 0.54, 2.44, 1.23
587, 2.02, 1.99, 4.43, 2.50, 0.34, 0.51, 2.41, 1.26
589, 2.00, 1.97, 4.43, 2.49, 0.32, 0.60, 2.42, 1.26
591, 1.95, 1.93, 4.37, 2.47, 0.28, 0.57, 2.44, 1.25
593, 1.88, 1.89, 4.29, 2.48, 0.36, 0.62, 2.42, 1.26
595, 2.04, 1.98, 4.29, 2.44, 0.26, 0.54, 2.26, 1.15
598, 1.90, 1.86, 4.42, 2.44, 0.21, 0.54, 2.21, 1.12
600, 1.85, 1.86, 4.17, 2.45, 0.37, 0.56, 2.31, 1.22
602, 1.83, 1.79, 4.08, 2.49, 0.33, 0.52, 2.38, 1.25
604, 1.79, 1.75, 4.07, 2.47, 0.41, 0.52, 2.33, 1.22
606, 1.79, 1.70, 4.06, 2.48, 0.40, 0.56, 2.31, 1.16
608, 1.75, 1.71, 4.06, 2.45, 0.42, 0.62, 2.25, 1.15
611, 1.71, 1.71, 4.00, 2.40, 0.37, 0.51, 2.22, 1.17
613, 1.70, 1.66, 4.00, 2.42, 0.33, 0.61, 2.23, 1.23
615, 1.67, 1.60, 3.88, 2.42, 0.24, 0.54, 2.23, 1.18
617, 1.73, 1.63, 3.84, 2.31, 0.26, 0.54, 2.14, 1.18
620, 1.60, 1.58, 3.99, 2.33, 0.33, 0.61, 2.14, 1.10
622, 1.56, 1.52, 3.79, 2.32, 0.30, 0.59, 2.16, 1.10
624, 1.53, 1.51, 3.63, 2.30, 0.34, 0.58, 2.14, 1.08
626, 1.57, 1.56, 3.61, 2.36, 0.26, 0.54, 2.14, 1.08
628, 1.58, 1.57, 3.60, 2.32, 0.17, 0.61, 2.12, 1.07
630, 1.56, 1.53, 3.48, 2.29, 0.22, 0.54, 2.06, 1.06
633, 1.55, 1.52, 3.50, 2.34, 0.17, 0.57, 2.05, 1.08
